iter,game_number,elapsed_time,last_1_avg,last_10_avg,last_100_avg,max_score_log,max_diff
0,1,2.469529867172241,0.0,0.0,0.0,0,-1
0,2,2.5504043102264404,0.0,0.0,0.0,0,-1
0,3,2.651461601257324,1.0,0.3333333333333333,0.3333333333333333,1,-1
0,4,2.7273950576782227,0.0,0.25,0.25,1,-1
0,5,2.7755227088928223,0.0,0.2,0.2,1,-1
0,6,2.8741776943206787,1.0,0.3333333333333333,0.3333333333333333,1,-1
0,7,2.958981513977051,0.0,0.2857142857142857,0.2857142857142857,1,-1
1,8,3.0442144870758057,0.0,0.25,0.25,1,0.6029043337931035
1,9,3.093316078186035,0.0,0.2222222222222222,0.2222222222222222,1,0.6029043337931035
1,10,3.1796648502349854,0.0,0.2,0.2,1,0.6029043337931035
1,11,3.260448455810547,0.0,0.2,0.18181818181818182,1,0.6029043337931035
1,12,3.3452954292297363,0.0,0.2,0.16666666666666666,1,0.6029043337931035
1,13,3.458782196044922,1.0,0.2,0.23076923076923078,1,0.6029043337931035
1,14,3.548464298248291,0.0,0.2,0.21428571428571427,1,0.6029043337931035
1,15,3.6342761516571045,0.0,0.2,0.2,1,0.6029043337931035
2,16,3.7465474605560303,1.0,0.2,0.25,1,0.6029043337931035
2,17,3.8383209705352783,0.0,0.2,0.23529411764705882,1,0.6029043337931035
2,18,3.8944408893585205,0.0,0.2,0.2222222222222222,1,0.6029043337931035
2,19,3.9596481323242188,0.0,0.2,0.21052631578947367,1,0.6029043337931035
2,20,4.045843124389648,0.0,0.2,0.2,1,0.6029043337931035
2,21,4.135102272033691,0.0,0.2,0.19047619047619047,1,0.6029043337931035
2,22,4.227847576141357,0.0,0.2,0.18181818181818182,1,0.6029043337931035
2,23,4.278103590011597,0.0,0.1,0.17391304347826086,1,0.6029043337931035
2,24,4.365351676940918,0.0,0.1,0.16666666666666666,1,0.6029043337931035
2,25,4.455859422683716,0.0,0.1,0.16,1,0.6029043337931035
3,26,4.519915819168091,0.0,0.0,0.15384615384615385,1,0.5882265453838967
3,27,4.6068339347839355,0.0,0.0,0.14814814814814814,1,0.5882265453838967
3,28,4.685736656188965,0.0,0.0,0.14285714285714285,1,0.5882265453838967
3,29,4.73787784576416,0.0,0.0,0.13793103448275862,1,0.5882265453838967
3,30,4.824079751968384,0.0,0.0,0.13333333333333333,1,0.5882265453838967
3,31,4.912849187850952,0.0,0.0,0.12903225806451613,1,0.5882265453838967
3,32,4.996037721633911,0.0,0.0,0.125,1,0.5882265453838967
3,33,5.061211109161377,0.0,0.0,0.12121212121212122,1,0.5882265453838967
3,34,5.152454376220703,0.0,0.0,0.11764705882352941,1,0.5882265453838967
4,35,5.23676609992981,0.0,0.0,0.11428571428571428,1,0.53423893
4,36,5.332510471343994,1.0,0.1,0.1388888888888889,1,0.53423893
4,37,5.421246290206909,0.0,0.1,0.13513513513513514,1,0.53423893
4,38,5.510547637939453,0.0,0.1,0.13157894736842105,1,0.53423893
4,39,5.571199178695679,0.0,0.1,0.1282051282051282,1,0.53423893
4,40,5.6659510135650635,0.0,0.1,0.125,1,0.53423893
4,41,5.7627081871032715,0.0,0.1,0.12195121951219512,1,0.53423893
4,42,5.832895278930664,0.0,0.1,0.11904761904761904,1,0.53423893
5,43,5.924759387969971,0.0,0.1,0.11627906976744186,1,0.72363459603703
5,44,6.0380964279174805,1.0,0.2,0.13636363636363635,1,0.72363459603703
5,45,6.090198755264282,0.0,0.2,0.13333333333333333,1,0.72363459603703
5,46,6.1724443435668945,0.0,0.1,0.13043478260869565,1,0.72363459603703
5,47,6.258144855499268,0.0,0.1,0.1276595744680851,1,0.72363459603703
5,48,6.343872308731079,0.0,0.1,0.125,1,0.72363459603703
5,49,6.483625650405884,2.0,0.3,0.16326530612244897,2,0.72363459603703
5,50,6.568352937698364,0.0,0.3,0.16,2,0.72363459603703
6,51,6.67586350440979,1.0,0.4,0.17647058823529413,2,0.6782416461694118
6,52,6.767504453659058,0.0,0.4,0.17307692307692307,2,0.6782416461694118
6,53,6.848740100860596,0.0,0.4,0.16981132075471697,2,0.6782416461694118
6,54,6.940950393676758,0.0,0.3,0.16666666666666666,2,0.6782416461694118
6,55,7.076462030410767,2.0,0.5,0.2,2,0.6782416461694118
6,56,7.136620998382568,0.0,0.5,0.19642857142857142,2,0.6782416461694118
6,57,7.224996328353882,0.0,0.5,0.19298245614035087,2,0.6782416461694118
6,58,7.313800096511841,0.0,0.5,0.1896551724137931,2,0.6782416461694118
7,59,7.404278516769409,0.0,0.3,0.1864406779661017,2,0.7485383066343932
7,60,7.490149021148682,0.0,0.3,0.18333333333333332,2,0.7485383066343932
7,61,7.629338264465332,2.0,0.4,0.21311475409836064,2,0.7485383066343932
7,62,7.721572399139404,0.0,0.4,0.20967741935483872,2,0.7485383066343932
7,63,7.7983081340789795,0.0,0.4,0.20634920634920634,2,0.7485383066343932
7,64,7.858971357345581,0.0,0.4,0.203125,2,0.7485383066343932
7,65,7.919609546661377,0.0,0.2,0.2,2,0.7485383066343932
7,66,7.971731424331665,0.0,0.2,0.19696969696969696,2,0.7485383066343932
7,67,8.069373369216919,1.0,0.3,0.208955223880597,2,0.7485383066343932
8,68,8.160114765167236,0.0,0.3,0.20588235294117646,2,0.6029043337931035
8,69,8.249504089355469,0.0,0.3,0.2028985507246377,2,0.6029043337931035
8,70,8.314592599868774,0.0,0.3,0.2,2,0.6029043337931035
8,71,8.401832342147827,0.0,0.1,0.19718309859154928,2,0.6029043337931035
8,72,8.47364592552185,0.0,0.1,0.19444444444444445,2,0.6029043337931035
8,73,8.569421529769897,0.0,0.1,0.1917808219178082,2,0.6029043337931035
8,74,8.63007378578186,0.0,0.1,0.1891891891891892,2,0.6029043337931035
8,75,8.720424890518188,0.0,0.1,0.18666666666666668,2,0.6029043337931035
8,76,8.809187173843384,0.0,0.1,0.18421052631578946,2,0.6029043337931035
9,77,8.897895336151123,0.0,0.0,0.18181818181818182,2,0.649656549256581
9,78,9.011300802230835,1.0,0.1,0.19230769230769232,2,0.649656549256581
9,79,9.074567079544067,0.0,0.1,0.189873417721519,2,0.649656549256581
9,80,9.163935661315918,0.0,0.1,0.1875,2,0.649656549256581
9,81,9.25364899635315,0.0,0.1,0.18518518518518517,2,0.649656549256581
9,82,9.367058753967285,1.0,0.2,0.1951219512195122,2,0.649656549256581
9,83,9.463005781173706,0.0,0.2,0.1927710843373494,2,0.649656549256581
10,84,9.580286979675293,1.0,0.3,0.20238095238095238,2,0.7727580057159419
10,85,9.67012333869934,0.0,0.3,0.2,2,0.7727580057159419
10,86,9.746326684951782,0.0,0.3,0.19767441860465115,2,0.7727580057159419
10,87,9.813818454742432,0.0,0.3,0.19540229885057472,2,0.7727580057159419
10,88,9.902954339981079,0.0,0.2,0.19318181818181818,2,0.7727580057159419
10,89,9.975772619247437,0.0,0.2,0.19101123595505617,2,0.7727580057159419
10,90,10.06932520866394,0.0,0.2,0.18888888888888888,2,0.7727580057159419
10,91,10.136528491973877,0.0,0.2,0.18681318681318682,2,0.7727580057159419
10,92,10.235377073287964,1.0,0.2,0.1956521739130435,2,0.7727580057159419
11,93,10.33314299583435,0.0,0.2,0.1935483870967742,2,0.6635121403368851
11,94,10.421871662139893,0.0,0.1,0.19148936170212766,2,0.6635121403368851
11,95,10.5155930519104,0.0,0.1,0.18947368421052632,2,0.6635121403368851
11,96,10.61549711227417,1.0,0.2,0.19791666666666666,2,0.6635121403368851
