iter,game_number,elapsed_time,last_100_avg,max_score_log,loss_train,learning_rate,epsilon
0,1,0.04012298583984375,0.0,0,-1,0.01,1.0
0,2,0.14732789993286133,0.0,0,-1,0.01,1.0
0,3,0.2396228313446045,0.0,0,-1,0.01,1.0
0,4,0.34793949127197266,0.0,0,-1,0.01,1.0
0,5,0.4558532238006592,0.0,0,-1,0.01,1.0
0,6,0.5875647068023682,0.16666666666666666,1,-1,0.01,1.0
0,7,0.678621768951416,0.14285714285714285,1,-1,0.01,1.0
0,8,0.8064701557159424,0.125,1,-1,0.01,1.0
0,9,0.9156789779663086,0.1111111111111111,1,-1,0.01,1.0
0,10,1.0233583450317383,0.1,1,-1,0.01,1.0
0,11,1.1752958297729492,0.2727272727272727,2,-1,0.01,1.0
0,12,1.2829389572143555,0.25,2,-1,0.01,1.0
0,13,1.388970136642456,0.23076923076923078,2,-1,0.01,1.0
0,14,1.4906339645385742,0.21428571428571427,2,-1,0.01,1.0
0,15,1.5990118980407715,0.2,2,-1,0.01,1.0
0,16,1.704820156097412,0.1875,2,-1,0.01,1.0
0,17,1.7951717376708984,0.17647058823529413,2,-1,0.01,1.0
0,18,1.905071496963501,0.16666666666666666,2,-1,0.01,1.0
0,19,2.0111935138702393,0.15789473684210525,2,-1,0.01,1.0
0,20,2.1171910762786865,0.15,2,-1,0.01,1.0
0,21,2.250253677368164,0.19047619047619047,2,-1,0.01,1.0
0,22,2.3532040119171143,0.18181818181818182,2,-1,0.01,1.0
0,23,2.4551613330841064,0.17391304347826086,2,-1,0.01,1.0
0,24,2.5471885204315186,0.16666666666666666,2,-1,0.01,1.0
0,25,2.678788661956787,0.2,2,-1,0.01,1.0
0,26,2.7702741622924805,0.19230769230769232,2,-1,0.01,1.0
0,27,2.875426769256592,0.18518518518518517,2,-1,0.01,1.0
0,28,2.9832541942596436,0.17857142857142858,2,-1,0.01,1.0
0,29,3.0985381603240967,0.1724137931034483,2,-1,0.01,1.0
0,30,3.2031667232513428,0.16666666666666666,2,-1,0.01,1.0
0,31,3.3133397102355957,0.16129032258064516,2,-1,0.01,1.0
0,32,3.417522668838501,0.15625,2,-1,0.01,1.0
0,33,3.5468244552612305,0.18181818181818182,2,-1,0.01,1.0
0,34,3.6622042655944824,0.17647058823529413,2,-1,0.01,1.0
0,35,3.7645745277404785,0.17142857142857143,2,-1,0.01,1.0
0,36,3.9276044368743896,0.2222222222222222,2,-1,0.01,1.0
0,37,4.019782066345215,0.21621621621621623,2,-1,0.01,1.0
0,38,4.137076139450073,0.23684210526315788,2,-1,0.01,1.0
0,39,4.25315523147583,0.2564102564102564,2,-1,0.01,1.0
0,40,4.362054109573364,0.25,2,-1,0.01,1.0
0,41,4.477479457855225,0.24390243902439024,2,-1,0.01,1.0
0,42,4.589645862579346,0.23809523809523808,2,-1,0.01,1.0
0,43,4.699465274810791,0.23255813953488372,2,-1,0.01,1.0
0,44,4.809006214141846,0.22727272727272727,2,-1,0.01,1.0
0,45,4.913863658905029,0.2222222222222222,2,-1,0.01,1.0
0,46,5.00663423538208,0.21739130434782608,2,-1,0.01,1.0
0,47,5.118492364883423,0.2127659574468085,2,-1,0.01,1.0
0,48,5.221991062164307,0.20833333333333334,2,-1,0.01,1.0
0,49,5.327252149581909,0.20408163265306123,2,-1,0.01,1.0
0,50,5.430541753768921,0.2,2,-1,0.01,1.0
0,51,5.542013645172119,0.19607843137254902,2,-1,0.01,1.0
0,52,5.655055046081543,0.19230769230769232,2,-1,0.01,1.0
0,53,5.761611223220825,0.18867924528301888,2,-1,0.01,1.0
0,54,5.866166114807129,0.18518518518518517,2,-1,0.01,1.0
0,55,5.976670980453491,0.18181818181818182,2,-1,0.01,1.0
0,56,6.0819618701934814,0.17857142857142858,2,-1,0.01,1.0
0,57,6.192891836166382,0.17543859649122806,2,-1,0.01,1.0
0,58,6.298349142074585,0.1724137931034483,2,-1,0.01,1.0
0,59,6.390695571899414,0.1694915254237288,2,-1,0.01,1.0
0,60,6.495330333709717,0.16666666666666666,2,-1,0.01,1.0
0,61,6.598096609115601,0.16393442622950818,2,-1,0.01,1.0
0,62,6.730446815490723,0.1774193548387097,2,-1,0.01,1.0
0,63,6.81994104385376,0.1746031746031746,2,-1,0.01,1.0
0,64,6.949461936950684,0.1875,2,-1,0.01,1.0
0,65,7.042949438095093,0.18461538461538463,2,-1,0.01,1.0
0,66,7.1556925773620605,0.18181818181818182,2,-1,0.01,1.0
0,67,7.260781764984131,0.1791044776119403,2,-1,0.01,1.0
