iter,game_number,elapsed_time,last_1_avg,last_10_avg,last_100_avg,max_score_log,max_diff,sum_diff
0,1,3.824803113937378,0.0,0.0,0.0,0,-1,0
0,2,3.904799461364746,0.0,0.0,0.0,0,-1,0
0,3,3.9851491451263428,0.0,0.0,0.0,0,-1,0
0,4,4.0657055377960205,0.0,0.0,0.0,0,-1,0
0,5,4.146952867507935,0.0,0.0,0.0,0,-1,0
0,6,4.249726295471191,1.0,0.16666666666666666,0.16666666666666666,1,-1,0
0,7,4.311991214752197,0.0,0.14285714285714285,0.14285714285714285,1,-1,0
1,8,4.392177104949951,0.0,0.125,0.125,1,0.665023649034997,39.901062704376415
1,9,4.4763429164886475,0.0,0.1111111111111111,0.1111111111111111,1,0.665023649034997,39.901062704376415
1,10,4.534034967422485,0.0,0.1,0.1,1,0.665023649034997,39.901062704376415
1,11,4.621358633041382,0.0,0.1,0.09090909090909091,1,0.665023649034997,39.901062704376415
1,12,4.7141053676605225,0.0,0.1,0.08333333333333333,1,0.665023649034997,39.901062704376415
1,13,4.79893946647644,0.0,0.1,0.07692307692307693,1,0.665023649034997,39.901062704376415
1,14,4.889151334762573,0.0,0.1,0.07142857142857142,1,0.665023649034997,39.901062704376415
1,15,4.985833406448364,0.0,0.1,0.06666666666666667,1,0.665023649034997,39.901062704376415
1,16,5.073577880859375,0.0,0.0,0.0625,1,0.665023649034997,39.901062704376415
2,17,5.277926206588745,0.0,0.0,0.058823529411764705,1,0.6715919112538834,40.12765781105762
2,18,5.363674879074097,0.0,0.0,0.05555555555555555,1,0.6715919112538834,40.12765781105762
2,19,5.423835039138794,0.0,0.0,0.05263157894736842,1,0.6715919112538834,40.12765781105762
2,20,5.483967304229736,0.0,0.0,0.05,1,0.6715919112538834,40.12765781105762
2,21,5.566185474395752,0.0,0.0,0.047619047619047616,1,0.6715919112538834,40.12765781105762
2,22,5.703550815582275,3.0,0.3,0.18181818181818182,3,0.6715919112538834,40.12765781105762
2,23,5.772337198257446,0.0,0.3,0.17391304347826086,3,0.6715919112538834,40.12765781105762
2,24,5.85201358795166,0.0,0.3,0.16666666666666666,3,0.6715919112538834,40.12765781105762
3,25,5.932758331298828,0.0,0.3,0.16,3,0.6217458118866609,38.58989026598048
3,26,5.984900236129761,0.0,0.3,0.15384615384615385,3,0.6217458118866609,38.58989026598048
3,27,6.065171003341675,0.0,0.3,0.14814814814814814,3,0.6217458118866609,38.58989026598048
3,28,6.140371561050415,0.0,0.3,0.14285714285714285,3,0.6217458118866609,38.58989026598048
3,29,6.215570688247681,0.0,0.3,0.13793103448275862,3,0.6217458118866609,38.58989026598048
3,30,6.289239168167114,0.0,0.3,0.13333333333333333,3,0.6217458118866609,38.58989026598048
3,31,6.384025573730469,1.0,0.4,0.16129032258064516,3,0.6217458118866609,38.58989026598048
3,32,6.436226844787598,0.0,0.1,0.15625,3,0.6217458118866609,38.58989026598048
3,33,6.51242733001709,0.0,0.1,0.15151515151515152,3,0.6217458118866609,38.58989026598048
4,34,6.60015344619751,1.0,0.2,0.17647058823529413,3,0.6618709610672489,39.280108638183584
4,35,6.670841932296753,0.0,0.2,0.17142857142857143,3,0.6618709610672489,39.280108638183584
4,36,6.748053789138794,0.0,0.2,0.16666666666666666,3,0.6618709610672489,39.280108638183584
4,37,6.822216510772705,0.0,0.2,0.16216216216216217,3,0.6618709610672489,39.280108638183584
4,38,6.920511484146118,1.0,0.3,0.18421052631578946,3,0.6618709610672489,39.280108638183584
4,39,6.9924256801605225,0.0,0.3,0.1794871794871795,3,0.6618709610672489,39.280108638183584
4,40,7.0641162395477295,0.0,0.3,0.175,3,0.6618709610672489,39.280108638183584
