iter,game_number,elapsed_time,last_100_avg,max_score_log,loss_train
0,1,0.049468278884887695,0.0,0,-1
0,2,0.18360161781311035,0.5,1,-1
0,3,0.28954315185546875,0.3333333333333333,1,-1
0,4,0.4043903350830078,0.25,1,-1
0,5,0.5083858966827393,0.2,1,-1
0,6,0.613461971282959,0.16666666666666666,1,-1
0,7,0.7168967723846436,0.14285714285714285,1,-1
0,8,0.8239030838012695,0.125,1,-1
0,9,0.9266698360443115,0.1111111111111111,1,-1
0,10,1.0578889846801758,0.2,1,-1
0,11,1.1483781337738037,0.18181818181818182,1,-1
0,12,1.2541911602020264,0.16666666666666666,1,-1
0,13,1.367734432220459,0.23076923076923078,1,-1
0,14,1.4625205993652344,0.21428571428571427,1,-1
0,15,1.5646979808807373,0.2,1,-1
0,16,1.6568713188171387,0.1875,1,-1
0,17,1.758218765258789,0.17647058823529413,1,-1
0,18,1.8485605716705322,0.16666666666666666,1,-1
0,19,1.9516961574554443,0.15789473684210525,1,-1
0,20,2.052083730697632,0.15,1,-1
0,21,2.1558408737182617,0.14285714285714285,1,-1
0,22,2.2625560760498047,0.13636363636363635,1,-1
0,23,2.3635804653167725,0.13043478260869565,1,-1
0,24,2.475123882293701,0.125,1,-1
0,25,2.5778965950012207,0.12,1,-1
0,26,2.6839075088500977,0.11538461538461539,1,-1
0,27,2.7822329998016357,0.1111111111111111,1,-1
0,28,2.921527147293091,0.14285714285714285,1,-1
0,29,3.0267996788024902,0.13793103448275862,1,-1
0,30,3.135471820831299,0.13333333333333333,1,-1
0,31,3.235154151916504,0.12903225806451613,1,-1
0,32,3.3515589237213135,0.125,1,-1
0,33,3.455230712890625,0.12121212121212122,1,-1
0,34,3.5680992603302,0.11764705882352941,1,-1
0,35,3.6801352500915527,0.11428571428571428,1,-1
0,36,3.7863903045654297,0.1111111111111111,1,-1
0,37,3.888869285583496,0.10810810810810811,1,-1
0,38,3.998849391937256,0.10526315789473684,1,-1
0,39,4.092659950256348,0.10256410256410256,1,-1
0,40,4.198418617248535,0.1,1,-1
0,41,4.303918123245239,0.0975609756097561,1,-1
0,42,4.412997245788574,0.09523809523809523,1,-1
0,43,4.504054546356201,0.09302325581395349,1,-1
0,44,4.618093490600586,0.09090909090909091,1,-1
0,45,4.731006383895874,0.08888888888888889,1,-1
0,46,4.839298725128174,0.08695652173913043,1,-1
0,47,4.9450860023498535,0.0851063829787234,1,-1
0,48,5.039181232452393,0.08333333333333333,1,-1
0,49,5.145643711090088,0.08163265306122448,1,-1
0,50,5.251925945281982,0.08,1,-1
0,51,5.380977153778076,0.09803921568627451,1,-1
0,52,5.4867424964904785,0.09615384615384616,1,-1
0,53,5.595558404922485,0.09433962264150944,1,-1
0,54,5.699775695800781,0.09259259259259259,1,-1
0,55,5.807768821716309,0.09090909090909091,1,-1
0,56,5.910912752151489,0.08928571428571429,1,-1
0,57,6.03109884262085,0.10526315789473684,1,-1
0,58,6.139152526855469,0.10344827586206896,1,-1
0,59,6.241271257400513,0.1016949152542373,1,-1
0,60,6.337956428527832,0.1,1,-1
0,61,6.4430670738220215,0.09836065573770492,1,-1
0,62,6.53678822517395,0.0967741935483871,1,-1
0,63,6.642568588256836,0.09523809523809523,1,-1
0,64,6.749765396118164,0.09375,1,-1
0,65,6.843529224395752,0.09230769230769231,1,-1
0,66,6.96078634262085,0.10606060606060606,1,-1
0,67,7.076138257980347,0.1044776119402985,1,-1
0,68,7.1785643100738525,0.10294117647058823,1,-1
0,69,7.287304878234863,0.10144927536231885,1,-1
0,70,7.39318323135376,0.1,1,-1
1,71,7.639857530593872,0.09859154929577464,1,0.02373914
1,72,7.713052749633789,0.09722222222222222,1,0.02373914
1,73,7.76472020149231,0.0958904109589041,1,0.02373914
1,74,7.830418109893799,0.0945945945945946,1,0.02373914
1,75,7.925163745880127,0.10666666666666667,1,0.02373914
1,76,7.9903647899627686,0.10526315789473684,1,0.02373914
1,77,8.051027059555054,0.1038961038961039,1,0.02373914
1,78,8.1172034740448,0.10256410256410256,1,0.02373914
1,79,8.182505369186401,0.10126582278481013,1,0.02373914
1,80,8.24614405632019,0.1,1,0.02373914
1,81,8.339919328689575,0.1111111111111111,1,0.02373914
1,82,8.405741691589355,0.10975609756097561,1,0.02373914
1,83,8.471396207809448,0.10843373493975904,1,0.02373914
1,84,8.536795854568481,0.10714285714285714,1,0.02373914
1,85,8.606031656265259,0.10588235294117647,1,0.02373914
1,86,8.671694993972778,0.10465116279069768,1,0.02373914
1,87,8.736375570297241,0.10344827586206896,1,0.02373914
