iter,game_number,elapsed_time,last_1_avg,last_10_avg,last_100_avg,max_score_log,loss_train,learning_rate,epsilon
1,71,7.635236024856567,1.0,0.2,0.09859154929577464,1,0.10477403,0.0097,0.97
1,72,7.7037293910980225,0.0,0.2,0.09722222222222222,1,0.10477403,0.0097,0.97
1,73,7.774116516113281,0.0,0.2,0.0958904109589041,1,0.10477403,0.0097,0.97
1,74,7.847698211669922,0.0,0.1,0.0945945945945946,1,0.10477403,0.0097,0.97
1,75,7.913056373596191,0.0,0.1,0.09333333333333334,1,0.10477403,0.0097,0.97
1,76,8.013494968414307,1.0,0.2,0.10526315789473684,1,0.10477403,0.0097,0.97
1,77,8.081183910369873,0.0,0.2,0.1038961038961039,1,0.10477403,0.0097,0.97
1,78,8.149158239364624,0.0,0.2,0.10256410256410256,1,0.10477403,0.0097,0.97
1,79,8.217313766479492,0.0,0.2,0.10126582278481013,1,0.10477403,0.0097,0.97
1,80,8.285139322280884,0.0,0.2,0.1,1,0.10477403,0.0097,0.97
1,81,8.362833738327026,1.0,0.2,0.1111111111111111,1,0.10477403,0.0097,0.97
1,82,8.43152904510498,0.0,0.2,0.10975609756097561,1,0.10477403,0.0097,0.97
1,83,8.499208688735962,0.0,0.2,0.10843373493975904,1,0.10477403,0.0097,0.97
1,84,8.567867040634155,0.0,0.2,0.10714285714285714,1,0.10477403,0.0097,0.97
1,85,8.63868522644043,0.0,0.2,0.10588235294117647,1,0.10477403,0.0097,0.97
1,86,8.706339359283447,0.0,0.1,0.10465116279069768,1,0.10477403,0.0097,0.97
1,87,8.799612283706665,1.0,0.2,0.11494252873563218,1,0.10477403,0.0097,0.97
1,88,8.866265058517456,0.0,0.2,0.11363636363636363,1,0.10477403,0.0097,0.97
1,89,8.935397148132324,0.0,0.2,0.11235955056179775,1,0.10477403,0.0097,0.97
1,90,9.003076791763306,0.0,0.2,0.1111111111111111,1,0.10477403,0.0097,0.97
1,91,9.066778182983398,0.0,0.1,0.10989010989010989,1,0.10477403,0.0097,0.97
1,92,9.134952306747437,0.0,0.1,0.10869565217391304,1,0.10477403,0.0097,0.97
1,93,9.233827352523804,1.0,0.2,0.11827956989247312,1,0.10477403,0.0097,0.97
1,94,9.302483558654785,0.0,0.2,0.11702127659574468,1,0.10477403,0.0097,0.97
1,95,9.369661092758179,0.0,0.2,0.11578947368421053,1,0.10477403,0.0097,0.97
1,96,9.440009832382202,0.0,0.2,0.11458333333333333,1,0.10477403,0.0097,0.97
1,97,9.542700290679932,1.0,0.2,0.12371134020618557,1,0.10477403,0.0097,0.97
1,98,9.645665645599365,1.0,0.3,0.1326530612244898,1,0.10477403,0.0097,0.97
1,99,9.714502096176147,0.0,0.3,0.13131313131313133,1,0.10477403,0.0097,0.97
1,100,9.767394781112671,0.0,0.3,0.13,1,0.10477403,0.0097,0.97
1,101,9.862471580505371,1.0,0.4,0.14,1,0.10477403,0.0097,0.97
1,102,9.930851936340332,0.0,0.4,0.14,1,0.10477403,0.0097,0.97
1,103,10.01479983329773,1.0,0.4,0.15,1,0.10477403,0.0097,0.97
1,104,10.08354663848877,0.0,0.4,0.15,1,0.10477403,0.0097,0.97
1,105,10.15191388130188,0.0,0.4,0.15,1,0.10477403,0.0097,0.97
1,106,10.206274271011353,0.0,0.4,0.15,1,0.10477403,0.0097,0.97
1,107,10.272958993911743,0.0,0.3,0.15,1,0.10477403,0.0097,0.97
1,108,10.35320520401001,1.0,0.3,0.16,1,0.10477403,0.0097,0.97
1,109,10.407825231552124,0.0,0.3,0.16,1,0.10477403,0.0097,0.97
1,110,10.476049900054932,0.0,0.3,0.16,1,0.10477403,0.0097,0.97
1,111,10.543596982955933,0.0,0.2,0.16,1,0.10477403,0.0097,0.97
1,112,10.61027479171753,0.0,0.2,0.16,1,0.10477403,0.0097,0.97
1,113,10.679845094680786,0.0,0.1,0.16,1,0.10477403,0.0097,0.97
1,114,10.803197145462036,2.0,0.3,0.18,2,0.10477403,0.0097,0.97
1,115,10.878625869750977,0.0,0.3,0.18,2,0.10477403,0.0097,0.97
1,116,10.94515872001648,0.0,0.3,0.17,2,0.10477403,0.0097,0.97
1,117,11.016745328903198,0.0,0.3,0.17,2,0.10477403,0.0097,0.97
1,118,11.077942848205566,0.0,0.2,0.17,2,0.10477403,0.0097,0.97
1,119,11.174675226211548,1.0,0.3,0.18,2,0.10477403,0.0097,0.97
1,120,11.242540121078491,0.0,0.3,0.18,2,0.10477403,0.0097,0.97
1,121,11.312162637710571,0.0,0.3,0.18,2,0.10477403,0.0097,0.97
1,122,11.381813764572144,0.0,0.3,0.18,2,0.10477403,0.0097,0.97
1,123,11.451937198638916,0.0,0.3,0.18,2,0.10477403,0.0097,0.97
1,124,11.509486436843872,0.0,0.1,0.18,2,0.10477403,0.0097,0.97
1,125,11.58019232749939,0.0,0.1,0.18,2,0.10477403,0.0097,0.97
1,126,11.656554460525513,0.0,0.1,0.18,2,0.10477403,0.0097,0.97
1,127,11.71934461593628,0.0,0.1,0.18,2,0.10477403,0.0097,0.97
1,128,11.790008068084717,0.0,0.1,0.18,2,0.10477403,0.0097,0.97
1,129,11.886332511901855,1.0,0.1,0.19,2,0.10477403,0.0097,0.97
1,130,11.963345527648926,0.0,0.1,0.19,2,0.10477403,0.0097,0.97
1,131,12.033013343811035,0.0,0.1,0.19,2,0.10477403,0.0097,0.97
1,132,12.103676795959473,0.0,0.1,0.19,2,0.10477403,0.0097,0.97
1,133,12.159921407699585,0.0,0.1,0.19,2,0.10477403,0.0097,0.97
1,134,12.227604389190674,0.0,0.1,0.19,2,0.10477403,0.0097,0.97
1,135,12.295266389846802,0.0,0.1,0.19,2,0.10477403,0.0097,0.97
2,136,12.594995021820068,0.0,0.1,0.19,2,0.02877158,0.009406060606060607,0.9406060606060606
2,137,12.719374179840088,2.0,0.3,0.21,2,0.02877158,0.009406060606060607,0.9406060606060606
2,138,12.816633462905884,1.0,0.4,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,139,12.886318922042847,0.0,0.3,0.21,2,0.02877158,0.009406060606060607,0.9406060606060606
2,140,12.993126630783081,2.0,0.5,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,141,13.049065828323364,0.0,0.5,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,142,13.14175534248352,1.0,0.6,0.23,2,0.02877158,0.009406060606060607,0.9406060606060606
2,143,13.211170673370361,0.0,0.6,0.23,2,0.02877158,0.009406060606060607,0.9406060606060606
2,144,13.283523321151733,0.0,0.6,0.23,2,0.02877158,0.009406060606060607,0.9406060606060606
2,145,13.353073596954346,0.0,0.6,0.23,2,0.02877158,0.009406060606060607,0.9406060606060606
2,146,13.448474407196045,1.0,0.7,0.24,2,0.02877158,0.009406060606060607,0.9406060606060606
2,147,13.517753839492798,0.0,0.5,0.24,2,0.02877158,0.009406060606060607,0.9406060606060606
2,148,13.584023714065552,0.0,0.4,0.23,2,0.02877158,0.009406060606060607,0.9406060606060606
2,149,13.652714014053345,0.0,0.4,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,150,13.708836555480957,0.0,0.2,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,151,13.776516437530518,0.0,0.2,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,152,13.845198392868042,0.0,0.1,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,153,13.914884090423584,0.0,0.1,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,154,13.983566999435425,0.0,0.1,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,155,14.040745735168457,0.0,0.1,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,156,14.109625577926636,0.0,0.0,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,157,14.180459976196289,0.0,0.0,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,158,14.236165523529053,0.0,0.0,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,159,14.293298721313477,0.0,0.0,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,160,14.366637468338013,0.0,0.0,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,161,14.438614845275879,0.0,0.0,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,162,14.514476537704468,0.0,0.0,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,163,14.587209463119507,0.0,0.0,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,164,14.658795595169067,0.0,0.0,0.21,2,0.02877158,0.009406060606060607,0.9406060606060606
2,165,14.73012375831604,0.0,0.0,0.21,2,0.02877158,0.009406060606060607,0.9406060606060606
2,166,14.79640007019043,0.0,0.0,0.21,2,0.02877158,0.009406060606060607,0.9406060606060606
2,167,14.864604711532593,0.0,0.0,0.21,2,0.02877158,0.009406060606060607,0.9406060606060606
2,168,14.935479640960693,0.0,0.0,0.21,2,0.02877158,0.009406060606060607,0.9406060606060606
2,169,15.029663562774658,1.0,0.1,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,170,15.09969973564148,0.0,0.1,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,171,15.155635118484497,0.0,0.1,0.21,2,0.02877158,0.009406060606060607,0.9406060606060606
2,172,15.234819650650024,1.0,0.2,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,173,15.312526941299438,0.0,0.2,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,174,15.382850408554077,0.0,0.2,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,175,15.45331883430481,0.0,0.2,0.22,2,0.02877158,0.009406060606060607,0.9406060606060606
2,176,15.523238182067871,0.0,0.2,0.21,2,0.02877158,0.009406060606060607,0.9406060606060606
2,177,15.59800934791565,0.0,0.2,0.21,2,0.02877158,0.009406060606060607,0.9406060606060606
2,178,15.664496183395386,0.0,0.2,0.21,2,0.02877158,0.009406060606060607,0.9406060606060606
2,179,15.73367953300476,0.0,0.1,0.21,2,0.02877158,0.009406060606060607,0.9406060606060606
2,180,15.821155548095703,0.0,0.1,0.21,2,0.02877158,0.009406060606060607,0.9406060606060606
